variety,type,origin,alpha,beta,cohumulone,myrcene,caryophyllene,humulene,farnesene,total_oil,aroma
Saphir,Aroma,Germany,3,5.5,14.5,32.5,11.5,25,0.5,0.5,spicy
Saphir,Aroma,Germany,3,5.5,14.5,32.5,11.5,25,0.5,0.5,fruity
Saphir,Aroma,Germany,3,5.5,14.5,32.5,11.5,25,0.5,0.5,floral
Saphir,Aroma,Germany,3,5.5,14.5,32.5,11.5,25,0.5,0.5,tangerine
Savinjski Golding,Aroma,Slovenia,5,2.5,27.5,30,10,36,3.5,0.5,noble
Select,Aroma,Germany,4.5,3.5,24,30,7,16,18.5,0,spicy
Select,Aroma,Germany,4.5,3.5,24,30,7,16,18.5,0,grass
Spalt,Aroma,United States,4.5,4,22.5,45,5,15,12.5,0.5,noble
Spalt,Aroma,United States,4.5,4,22.5,45,5,15,12.5,0.5,earth
Spalt,Aroma,United States,4.5,4,22.5,45,5,15,12.5,0.5,herbal
Spalter,Aroma,Germany,4,4.5,25.5,20,12.5,21.5,12.5,0.5,noble
Spalter,Aroma,Germany,4,4.5,25.5,20,12.5,21.5,12.5,0.5,earth
Spalter,Aroma,Germany,4,4.5,25.5,20,12.5,21.5,12.5,0.5,herbal
Spalter,Aroma,Germany,4,4.5,25.5,20,12.5,21.5,12.5,0.5,noble
Spalter Select,Aroma,Germany,5,3.5,23,20,9,20,20,0.5,spicy
Spalter Select,Aroma,Germany,5,3.5,23,20,9,20,20,0.5,grass
Spalter Select,Aroma,Germany,5,3.5,23,20,9,20,20,0.5,noble
Strisselspalt,Aroma,France,4,4,22.5,25,9,20,0.5,0,spicy
Strisselspalt,Aroma,France,4,4,22.5,25,9,20,0.5,0,citrusy
Strisselspalt,Aroma,France,4,4,22.5,25,9,20,0.5,0,floral
Strisselspalt,Aroma,France,4,4,22.5,25,9,20,0.5,0,fruity
Strisselspalt,Aroma,France,4,4,22.5,25,9,20,0.5,0,herbal
Styrian Golding,Aroma,Slovenia,5,2.5,27.5,30,10,36,3.5,0.5,resin
Styrian Golding,Aroma,Slovenia,5,2.5,27.5,30,10,36,3.5,0.5,earth
Styrian Golding,Aroma,Slovenia,5,2.5,27.5,30,10,36,3.5,0.5,white
Styrian Golding,Aroma,Slovenia,5,2.5,27.5,30,10,36,3.5,0.5,pepper
Summer,Aroma,Australia,5.5,5,22.5,33.5,9.5,39,0.5,1.5,apricot
Summer,Aroma,Australia,5.5,5,22.5,33.5,9.5,39,0.5,1.5,melon
Sussex,Aroma,United Kingdom,4.5,2.5,37.5,42,NA,23,0.5,0,earth
Sussex,Aroma,United Kingdom,4.5,2.5,37.5,42,NA,23,0.5,0,grass
Sussex,Aroma,United Kingdom,4.5,2.5,37.5,42,NA,23,0.5,0,mint
Sussex,Aroma,United Kingdom,4.5,2.5,37.5,42,NA,23,0.5,0,citrus
Sussex,Aroma,United Kingdom,4.5,2.5,37.5,42,NA,23,0.5,0,vanilla
Sylva,Aroma,Australia,6,3.5,22.5,31,6.5,22.5,25,1,floral
Sylva,Aroma,Australia,6,3.5,22.5,31,6.5,22.5,25,1,herbal
Sylva,Aroma,Australia,6,3.5,22.5,31,6.5,22.5,25,1,noble
